station_id,station_code,station_name,display_name,station_type,latitude,longitude,sampling_height_m,district,in_ctdi_study,reason_if_excluded
80,CW,CENTRAL/WESTERN,Central / Western,General,22.2848,114.1441,16.0,Central and Western,True,
73,E,EASTERN,Eastern,General,22.2831,114.219,15.0,Eastern,True,
74,KT,KWUN TONG,Kwun Tong,General,22.3107,114.2312,15.0,Kwun Tong,True,
66,SSP,SHAM SHUI PO,Sham Shui Po,General,22.3304,114.1591,17.0,Sham Shui Po,True,
72,KC,KWAI CHUNG,Kwai Chung,General,22.3569,114.1293,13.0,Kwai Tsing,True,
77,TW,TSUEN WAN,Tsuen Wan,General,22.3715,114.1146,17.0,Tsuen Wan,True,
83,TKO,TSEUNG KWAN O,Tseung Kwan O,General,22.3173,114.2596,16.0,Sai Kung,True,
70,YL,YUEN LONG,Yuen Long,General,22.445,114.0227,25.0,Yuen Long,True,
82,TM,TUEN MUN,Tuen Mun,General,22.3911,113.9768,27.0,Tuen Mun,True,
78,TC,TUNG CHUNG,Tung Chung,General,22.2885,113.9431,28.0,Islands,True,
69,TP,TAI PO,Tai Po,General,22.4508,114.1644,28.0,Tai Po,True,
75,ST,SHATIN,Sha Tin,General,22.3764,114.1846,25.0,Sha Tin,True,
76,TMN,TAP MUN,Tap Mun,General (Rural Background),22.4757,114.3619,11.0,Tai Po,True,
71,CB,CAUSEWAY BAY,Causeway Bay,Roadside,22.2801,114.1855,3.0,Wan Chai,True,
79,C,CENTRAL,Central,Roadside,22.2802,114.1606,4.5,Central and Western,True,
81,MK,MONG KOK,Mong Kok,Roadside,22.3225,114.1685,3.0,Yau Tsim Mong,True,
