station_name,total_hours,pm25_missing_count,pm25_missing_pct,pm10_missing_count,pm10_missing_pct,no2_missing_count,no2_missing_pct,o3_missing_count,o3_missing_pct,so2_missing_count,so2_missing_pct
CAUSEWAY BAY,26304,897,3.41,897,3.41,638,2.43,545,2.07,695,2.64
CENTRAL,26304,862,3.28,862,3.28,502,1.91,192,0.73,518,1.97
CENTRAL/WESTERN,26304,303,1.15,306,1.16,605,2.3,486,1.85,688,2.62
EASTERN,26304,1106,4.2,1016,3.86,508,1.93,489,1.86,493,1.87
KWAI CHUNG,26304,575,2.19,565,2.15,625,2.38,815,3.1,581,2.21
KWUN TONG,26304,558,2.12,1613,6.13,623,2.37,780,2.97,629,2.39
MONG KOK,26304,272,1.03,272,1.03,760,2.89,767,2.92,689,2.62
SHAM SHUI PO,26304,839,3.19,693,2.63,917,3.49,985,3.74,772,2.93
SHATIN,26304,1265,4.81,1300,4.94,801,3.05,792,3.01,601,2.28
TAI PO,26304,554,2.11,552,2.1,577,2.19,272,1.03,534,2.03
TAP MUN,26304,594,2.26,635,2.41,1174,4.46,1098,4.17,1077,4.09
TSEUNG KWAN O,26304,503,1.91,488,1.86,424,1.61,463,1.76,532,2.02
TSUEN WAN,26304,491,1.87,491,1.87,1051,4.0,974,3.7,973,3.7
TUEN MUN,26304,714,2.71,636,2.42,350,1.33,497,1.89,368,1.4
TUNG CHUNG,26304,486,1.85,483,1.84,1023,3.89,1021,3.88,1005,3.82
YUEN LONG,26304,638,2.43,586,2.23,1073,4.08,941,3.58,901,3.43
