station_id,station_name,timestamp,temperature,relative_humidity,wind_speed,wind_direction,pressure,rainfall
72,KWAI CHUNG,2019-01-01 00:00:00,8.0,74,4.03,14,1027.5,0.0
72,KWAI CHUNG,2019-01-01 01:00:00,7.7,74,4.05,16,1027.3,0.0
72,KWAI CHUNG,2019-01-01 02:00:00,7.3,75,4.08,17,1026.7,0.0
72,KWAI CHUNG,2019-01-01 03:00:00,7.0,75,4.15,15,1026.2,0.0
72,KWAI CHUNG,2019-01-01 04:00:00,6.7,75,4.27,16,1026.0,0.0
72,KWAI CHUNG,2019-01-01 05:00:00,6.4,74,4.52,18,1026.0,0.0
72,KWAI CHUNG,2019-01-01 06:00:00,6.1,74,4.62,18,1026.5,0.0
72,KWAI CHUNG,2019-01-01 07:00:00,6.0,73,4.81,21,1027.0,0.0
72,KWAI CHUNG,2019-01-01 08:00:00,7.4,72,4.39,12,1027.8,0.0
72,KWAI CHUNG,2019-01-01 09:00:00,8.9,69,4.66,15,1027.8,0.0
72,KWAI CHUNG,2019-01-01 10:00:00,10.7,67,4.68,20,1027.6,0.0
72,KWAI CHUNG,2019-01-01 11:00:00,12.7,63,4.46,16,1026.8,0.0
72,KWAI CHUNG,2019-01-01 12:00:00,13.8,61,4.16,10,1026.1,0.0
72,KWAI CHUNG,2019-01-01 13:00:00,14.0,62,3.85,9,1025.0,0.0
72,KWAI CHUNG,2019-01-01 14:00:00,13.9,62,3.92,6,1024.3,0.0
72,KWAI CHUNG,2019-01-01 15:00:00,14.1,61,3.79,12,1023.7,0.0
72,KWAI CHUNG,2019-01-01 16:00:00,13.8,62,3.67,17,1024.0,0.0
72,KWAI CHUNG,2019-01-01 17:00:00,13.0,64,3.7,19,1024.7,0.0
72,KWAI CHUNG,2019-01-01 18:00:00,12.2,68,3.86,17,1025.4,0.0
72,KWAI CHUNG,2019-01-01 19:00:00,11.5,73,4.11,18,1025.4,0.2
72,KWAI CHUNG,2019-01-01 20:00:00,13.0,68,2.53,351,1026.0,0.2
72,KWAI CHUNG,2019-01-01 21:00:00,12.6,72,3.54,352,1026.2,0.3
72,KWAI CHUNG,2019-01-01 22:00:00,11.4,81,3.7,360,1026.2,0.5
72,KWAI CHUNG,2019-01-01 23:00:00,10.6,85,3.93,7,1026.2,0.7
72,KWAI CHUNG,2019-01-02 00:00:00,10.0,88,4.23,7,1026.2,0.3
72,KWAI CHUNG,2019-01-02 01:00:00,9.5,89,4.37,11,1026.0,0.1
72,KWAI CHUNG,2019-01-02 02:00:00,9.1,88,4.37,20,1025.7,0.0
72,KWAI CHUNG,2019-01-02 03:00:00,8.9,87,4.31,22,1025.4,0.0
72,KWAI CHUNG,2019-01-02 04:00:00,8.6,87,4.35,23,1025.4,0.0
72,KWAI CHUNG,2019-01-02 05:00:00,8.6,84,4.34,26,1024.8,0.0
