年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2019.0,1.0,1.0,1026.5,C
2019.0,1.0,2.0,1025.4,C
2019.0,1.0,3.0,1024.3,C
2019.0,1.0,4.0,1022.8,C
2019.0,1.0,5.0,1020.5,C
2019.0,1.0,6.0,1021.5,C
2019.0,1.0,7.0,1021.4,C
2019.0,1.0,8.0,1021.3,C
2019.0,1.0,9.0,1022.3,C
2019.0,1.0,10.0,1020.2,C
2019.0,1.0,11.0,1018.6,C
2019.0,1.0,12.0,1018.3,C
2019.0,1.0,13.0,1019.3,C
2019.0,1.0,14.0,1018.8,C
2019.0,1.0,15.0,1018.8,C
2019.0,1.0,16.0,1020.5,C
2019.0,1.0,17.0,1022.2,C
2019.0,1.0,18.0,1022.1,C
2019.0,1.0,19.0,1019.6,C
2019.0,1.0,20.0,1018.9,C
2019.0,1.0,21.0,1021.8,C
2019.0,1.0,22.0,1022.3,C
2019.0,1.0,23.0,1021.0,C
2019.0,1.0,24.0,1020.6,C
2019.0,1.0,25.0,1021.2,C
2019.0,1.0,26.0,1023.1,C
2019.0,1.0,27.0,1023.6,C
2019.0,1.0,28.0,1021.6,C
2019.0,1.0,29.0,1021.4,C
2019.0,1.0,30.0,1020.8,C
2019.0,1.0,31.0,1018.9,C
2019.0,2.0,1.0,1021.6,C
2019.0,2.0,2.0,1018.4,C
2019.0,2.0,3.0,1017.2,C
2019.0,2.0,4.0,1018.1,C
2019.0,2.0,5.0,1017.4,C
2019.0,2.0,6.0,1014.5,C
2019.0,2.0,7.0,1014.8,C
2019.0,2.0,8.0,1015.3,C
2019.0,2.0,9.0,1017.9,C
2019.0,2.0,10.0,1021.7,C
2019.0,2.0,11.0,1024.3,C
2019.0,2.0,12.0,1024.2,C
2019.0,2.0,13.0,1021.8,C
2019.0,2.0,14.0,1020.6,C
2019.0,2.0,15.0,1019.9,C
2019.0,2.0,16.0,1017.9,C
2019.0,2.0,17.0,1017.8,C
2019.0,2.0,18.0,1015.4,C
2019.0,2.0,19.0,1016.8,C
2019.0,2.0,20.0,1018.5,C
2019.0,2.0,21.0,1017.4,C
2019.0,2.0,22.0,1017.2,C
2019.0,2.0,23.0,1015.8,C
2019.0,2.0,24.0,1016.9,C
2019.0,2.0,25.0,1017.5,C
