年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2019.0,1.0,1.0,Trace,C
2019.0,1.0,2.0,Trace,C
2019.0,1.0,3.0,0.1,C
2019.0,1.0,4.0,0.1,C
2019.0,1.0,5.0,0.0,C
2019.0,1.0,6.0,Trace,C
2019.0,1.0,7.0,0.0,C
2019.0,1.0,8.0,0.2,C
2019.0,1.0,9.0,0.0,C
2019.0,1.0,10.0,0.0,C
2019.0,1.0,11.0,0.0,C
2019.0,1.0,12.0,Trace,C
2019.0,1.0,13.0,Trace,C
2019.0,1.0,14.0,Trace,C
2019.0,1.0,15.0,4.0,C
2019.0,1.0,16.0,0.0,C
2019.0,1.0,17.0,0.0,C
2019.0,1.0,18.0,0.0,C
2019.0,1.0,19.0,0.2,C
2019.0,1.0,20.0,0.1,C
2019.0,1.0,21.0,0.0,C
2019.0,1.0,22.0,0.0,C
2019.0,1.0,23.0,0.0,C
2019.0,1.0,24.0,0.0,C
2019.0,1.0,25.0,0.0,C
2019.0,1.0,26.0,0.0,C
2019.0,1.0,27.0,0.0,C
2019.0,1.0,28.0,0.0,C
2019.0,1.0,29.0,0.0,C
2019.0,1.0,30.0,0.0,C
2019.0,1.0,31.0,0.0,C
2019.0,2.0,1.0,0.0,C
2019.0,2.0,2.0,Trace,C
2019.0,2.0,3.0,Trace,C
2019.0,2.0,4.0,0.0,C
2019.0,2.0,5.0,0.0,C
2019.0,2.0,6.0,0.0,C
2019.0,2.0,7.0,Trace,C
2019.0,2.0,8.0,Trace,C
2019.0,2.0,9.0,0.8,C
2019.0,2.0,10.0,0.8,C
2019.0,2.0,11.0,Trace,C
2019.0,2.0,12.0,0.2,C
2019.0,2.0,13.0,0.0,C
2019.0,2.0,14.0,Trace,C
2019.0,2.0,15.0,0.2,C
2019.0,2.0,16.0,0.0,C
2019.0,2.0,17.0,0.1,C
2019.0,2.0,18.0,18.1,C
2019.0,2.0,19.0,31.0,C
2019.0,2.0,20.0,0.2,C
2019.0,2.0,21.0,Trace,C
2019.0,2.0,22.0,1.6,C
2019.0,2.0,23.0,12.3,C
2019.0,2.0,24.0,3.4,C
2019.0,2.0,25.0,Trace,C
2019.0,2.0,26.0,Trace,C
2019.0,2.0,27.0,Trace,C
2019.0,2.0,28.0,0.0,C
2019.0,3.0,1.0,0.4,C
2019.0,3.0,2.0,Trace,C
2019.0,3.0,3.0,6.3,C
2019.0,3.0,4.0,10.2,C
2019.0,3.0,5.0,30.3,C
2019.0,3.0,6.0,45.5,C
2019.0,3.0,7.0,29.6,C
2019.0,3.0,8.0,11.5,C
2019.0,3.0,9.0,14.5,C
2019.0,3.0,10.0,4.6,C
2019.0,3.0,11.0,7.6,C
2019.0,3.0,12.0,0.0,C
2019.0,3.0,13.0,0.0,C
2019.0,3.0,14.0,6.4,C
2019.0,3.0,15.0,0.4,C
2019.0,3.0,16.0,0.0,C
2019.0,3.0,17.0,0.0,C
2019.0,3.0,18.0,0.0,C
2019.0,3.0,19.0,0.0,C
2019.0,3.0,20.0,0.0,C
2019.0,3.0,21.0,0.0,C
2019.0,3.0,22.0,Trace,C
2019.0,3.0,23.0,3.3,C
2019.0,3.0,24.0,0.3,C
2019.0,3.0,25.0,1.0,C
2019.0,3.0,26.0,0.0,C
2019.0,3.0,27.0,Trace,C
2019.0,3.0,28.0,0.0,C
2019.0,3.0,29.0,6.9,C
2019.0,3.0,30.0,Trace,C
2019.0,3.0,31.0,7.7,C
2019.0,4.0,1.0,Trace,C
2019.0,4.0,2.0,Trace,C
2019.0,4.0,3.0,Trace,C
2019.0,4.0,4.0,Trace,C
2019.0,4.0,5.0,0.0,C
2019.0,4.0,6.0,0.0,C
2019.0,4.0,7.0,0.0,C
2019.0,4.0,8.0,0.0,C
2019.0,4.0,9.0,0.0,C
2019.0,4.0,10.0,0.0,C
2019.0,4.0,11.0,0.7,C
2019.0,4.0,12.0,6.1,C
2019.0,4.0,13.0,3.8,C
2019.0,4.0,14.0,10.4,C
2019.0,4.0,15.0,1.1,C
2019.0,4.0,16.0,9.2,C
2019.0,4.0,17.0,0.0,C
2019.0,4.0,18.0,6.7,C
2019.0,4.0,19.0,75.8,C
2019.0,4.0,20.0,43.6,C
2019.0,4.0,21.0,0.3,C
2019.0,4.0,22.0,0.0,C
2019.0,4.0,23.0,0.0,C
2019.0,4.0,24.0,0.0,C
2019.0,4.0,25.0,0.0,C
2019.0,4.0,26.0,0.9,C
2019.0,4.0,27.0,16.6,C
2019.0,4.0,28.0,3.1,C
2019.0,4.0,29.0,0.0,C
2019.0,4.0,30.0,7.5,C
2019.0,5.0,1.0,0.2,C
2019.0,5.0,2.0,0.5,C
2019.0,5.0,3.0,5.3,C
2019.0,5.0,4.0,8.4,C
2019.0,5.0,5.0,8.3,C
2019.0,5.0,6.0,11.3,C
2019.0,5.0,7.0,17.0,C
2019.0,5.0,8.0,25.1,C
2019.0,5.0,9.0,10.0,C
2019.0,5.0,10.0,0.0,C
2019.0,5.0,11.0,0.0,C
2019.0,5.0,12.0,0.0,C
2019.0,5.0,13.0,Trace,C
2019.0,5.0,14.0,0.0,C
2019.0,5.0,15.0,Trace,C
2019.0,5.0,16.0,0.8,C
2019.0,5.0,17.0,0.1,C
2019.0,5.0,18.0,Trace,C
2019.0,5.0,19.0,0.0,C
2019.0,5.0,20.0,9.0,C
2019.0,5.0,21.0,3.3,C
2019.0,5.0,22.0,0.7,C
2019.0,5.0,23.0,6.5,C
2019.0,5.0,24.0,21.5,C
2019.0,5.0,25.0,2.4,C
2019.0,5.0,26.0,15.1,C
2019.0,5.0,27.0,27.8,C
2019.0,5.0,28.0,43.9,C
2019.0,5.0,29.0,3.2,C
2019.0,5.0,30.0,3.2,C
2019.0,5.0,31.0,11.0,C
2019.0,6.0,1.0,32.6,C
2019.0,6.0,2.0,3.0,C
2019.0,6.0,3.0,34.1,C
2019.0,6.0,4.0,38.1,C
2019.0,6.0,5.0,0.0,C
2019.0,6.0,6.0,Trace,C
2019.0,6.0,7.0,0.0,C
2019.0,6.0,8.0,1.1,C
2019.0,6.0,9.0,4.1,C
2019.0,6.0,10.0,3.3,C
2019.0,6.0,11.0,111.6,C
2019.0,6.0,12.0,1.5,C
2019.0,6.0,13.0,55.8,C
2019.0,6.0,14.0,16.5,C
2019.0,6.0,15.0,Trace,C
2019.0,6.0,16.0,0.0,C
2019.0,6.0,17.0,4.7,C
2019.0,6.0,18.0,11.1,C
2019.0,6.0,19.0,14.0,C
2019.0,6.0,20.0,0.5,C
2019.0,6.0,21.0,0.7,C
2019.0,6.0,22.0,0.7,C
2019.0,6.0,23.0,3.2,C
2019.0,6.0,24.0,16.8,C
2019.0,6.0,25.0,35.4,C
2019.0,6.0,26.0,0.9,C
2019.0,6.0,27.0,3.5,C
2019.0,6.0,28.0,2.2,C
2019.0,6.0,29.0,0.6,C
2019.0,6.0,30.0,33.1,C
2019.0,7.0,1.0,15.3,C
2019.0,7.0,2.0,19.1,C
2019.0,7.0,3.0,79.1,C
2019.0,7.0,4.0,13.0,C
2019.0,7.0,5.0,1.3,C
2019.0,7.0,6.0,1.5,C
2019.0,7.0,7.0,4.3,C
2019.0,7.0,8.0,0.1,C
2019.0,7.0,9.0,6.0,C
2019.0,7.0,10.0,14.3,C
2019.0,7.0,11.0,6.0,C
2019.0,7.0,12.0,2.6,C
2019.0,7.0,13.0,Trace,C
2019.0,7.0,14.0,Trace,C
2019.0,7.0,15.0,0.0,C
2019.0,7.0,16.0,0.0,C
2019.0,7.0,17.0,0.0,C
2019.0,7.0,18.0,Trace,C
2019.0,7.0,19.0,22.6,C
2019.0,7.0,20.0,6.4,C
2019.0,7.0,21.0,0.1,C
2019.0,7.0,22.0,0.4,C
2019.0,7.0,23.0,Trace,C
2019.0,7.0,24.0,Trace,C
2019.0,7.0,25.0,1.0,C
2019.0,7.0,26.0,Trace,C
2019.0,7.0,27.0,0.0,C
2019.0,7.0,28.0,0.5,C
2019.0,7.0,29.0,1.0,C
2019.0,7.0,30.0,12.8,C
2019.0,7.0,31.0,121.1,C
2019.0,8.0,1.0,98.3,C
2019.0,8.0,2.0,8.2,C
2019.0,8.0,3.0,28.4,C
2019.0,8.0,4.0,Trace,C
2019.0,8.0,5.0,0.0,C
2019.0,8.0,6.0,Trace,C
2019.0,8.0,7.0,0.0,C
2019.0,8.0,8.0,0.0,C
2019.0,8.0,9.0,0.0,C
2019.0,8.0,10.0,0.0,C
2019.0,8.0,11.0,1.1,C
2019.0,8.0,12.0,0.4,C
2019.0,8.0,13.0,9.2,C
2019.0,8.0,14.0,54.4,C
2019.0,8.0,15.0,5.6,C
2019.0,8.0,16.0,1.1,C
2019.0,8.0,17.0,42.2,C
2019.0,8.0,18.0,19.0,C
2019.0,8.0,19.0,0.1,C
2019.0,8.0,20.0,Trace,C
2019.0,8.0,21.0,0.0,C
2019.0,8.0,22.0,0.0,C
2019.0,8.0,23.0,0.7,C
2019.0,8.0,24.0,0.0,C
2019.0,8.0,25.0,88.4,C
2019.0,8.0,26.0,178.3,C
2019.0,8.0,27.0,2.9,C
2019.0,8.0,28.0,0.0,C
2019.0,8.0,29.0,5.9,C
2019.0,8.0,30.0,8.5,C
2019.0,8.0,31.0,43.7,C
2019.0,9.0,1.0,8.5,C
2019.0,9.0,2.0,38.4,C
2019.0,9.0,3.0,12.9,C
2019.0,9.0,4.0,62.2,C
2019.0,9.0,5.0,31.8,C
2019.0,9.0,6.0,0.2,C
2019.0,9.0,7.0,0.4,C
