年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2019.0,1.0,1.0,13.8,C
2019.0,1.0,2.0,14.8,C
2019.0,1.0,3.0,16.2,C
2019.0,1.0,4.0,18.8,C
2019.0,1.0,5.0,19.8,C
2019.0,1.0,6.0,18.6,C
2019.0,1.0,7.0,18.5,C
2019.0,1.0,8.0,19.2,C
2019.0,1.0,9.0,17.8,C
2019.0,1.0,10.0,19.2,C
2019.0,1.0,11.0,20.6,C
2019.0,1.0,12.0,20.9,C
2019.0,1.0,13.0,18.5,C
2019.0,1.0,14.0,18.5,C
2019.0,1.0,15.0,19.0,C
2019.0,1.0,16.0,17.3,C
2019.0,1.0,17.0,16.7,C
2019.0,1.0,18.0,17.1,C
2019.0,1.0,19.0,18.8,C
2019.0,1.0,20.0,20.4,C
2019.0,1.0,21.0,17.8,C
2019.0,1.0,22.0,16.0,C
2019.0,1.0,23.0,16.2,C
2019.0,1.0,24.0,16.9,C
2019.0,1.0,25.0,18.7,C
2019.0,1.0,26.0,18.2,C
2019.0,1.0,27.0,16.9,C
2019.0,1.0,28.0,17.5,C
2019.0,1.0,29.0,18.5,C
2019.0,1.0,30.0,19.3,C
2019.0,1.0,31.0,21.7,C
2019.0,2.0,1.0,18.8,C
2019.0,2.0,2.0,18.6,C
2019.0,2.0,3.0,21.8,C
2019.0,2.0,4.0,21.7,C
2019.0,2.0,5.0,20.1,C
2019.0,2.0,6.0,22.1,C
2019.0,2.0,7.0,23.0,C
2019.0,2.0,8.0,21.7,C
2019.0,2.0,9.0,19.3,C
2019.0,2.0,10.0,18.0,C
2019.0,2.0,11.0,18.4,C
2019.0,2.0,12.0,19.0,C
2019.0,2.0,13.0,21.1,C
2019.0,2.0,14.0,20.4,C
2019.0,2.0,15.0,20.4,C
2019.0,2.0,16.0,22.4,C
2019.0,2.0,17.0,18.8,C
2019.0,2.0,18.0,17.9,C
2019.0,2.0,19.0,20.3,C
2019.0,2.0,20.0,22.6,C
2019.0,2.0,21.0,21.4,C
2019.0,2.0,22.0,20.4,C
2019.0,2.0,23.0,18.1,C
2019.0,2.0,24.0,16.9,C
2019.0,2.0,25.0,18.0,C
2019.0,2.0,26.0,18.7,C
2019.0,2.0,27.0,20.7,C
2019.0,2.0,28.0,22.8,C
2019.0,3.0,1.0,20.8,C
2019.0,3.0,2.0,21.5,C
2019.0,3.0,3.0,21.5,C
2019.0,3.0,4.0,20.9,C
2019.0,3.0,5.0,22.2,C
2019.0,3.0,6.0,20.5,C
2019.0,3.0,7.0,17.9,C
2019.0,3.0,8.0,16.5,C
2019.0,3.0,9.0,17.8,C
2019.0,3.0,10.0,17.7,C
2019.0,3.0,11.0,18.4,C
2019.0,3.0,12.0,20.1,C
2019.0,3.0,13.0,20.8,C
2019.0,3.0,14.0,20.4,C
2019.0,3.0,15.0,18.7,C
2019.0,3.0,16.0,20.2,C
2019.0,3.0,17.0,20.9,C
2019.0,3.0,18.0,21.7,C
2019.0,3.0,19.0,23.4,C
2019.0,3.0,20.0,23.5,C
2019.0,3.0,21.0,25.3,C
2019.0,3.0,22.0,25.8,C
2019.0,3.0,23.0,20.0,C
2019.0,3.0,24.0,17.5,C
2019.0,3.0,25.0,20.5,C
2019.0,3.0,26.0,21.9,C
2019.0,3.0,27.0,22.3,C
2019.0,3.0,28.0,24.4,C
2019.0,3.0,29.0,24.4,C
2019.0,3.0,30.0,23.1,C
2019.0,3.0,31.0,21.4,C
2019.0,4.0,1.0,20.3,C
2019.0,4.0,2.0,20.7,C
2019.0,4.0,3.0,22.8,C
2019.0,4.0,4.0,21.7,C
2019.0,4.0,5.0,24.0,C
2019.0,4.0,6.0,25.1,C
2019.0,4.0,7.0,25.7,C
2019.0,4.0,8.0,26.7,C
2019.0,4.0,9.0,26.6,C
2019.0,4.0,10.0,27.1,C
2019.0,4.0,11.0,27.3,C
2019.0,4.0,12.0,22.3,C
2019.0,4.0,13.0,21.2,C
2019.0,4.0,14.0,22.7,C
2019.0,4.0,15.0,22.1,C
2019.0,4.0,16.0,21.2,C
2019.0,4.0,17.0,23.5,C
2019.0,4.0,18.0,24.0,C
2019.0,4.0,19.0,23.7,C
2019.0,4.0,20.0,23.3,C
2019.0,4.0,21.0,26.2,C
2019.0,4.0,22.0,27.5,C
2019.0,4.0,23.0,28.0,C
2019.0,4.0,24.0,28.0,C
2019.0,4.0,25.0,28.5,C
2019.0,4.0,26.0,28.4,C
