年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2019.0,1.0,1.0,350,C
2019.0,1.0,2.0,360,C
2019.0,1.0,3.0,030,C
2019.0,1.0,4.0,070,C
2019.0,1.0,5.0,330,C
2019.0,1.0,6.0,020,C
2019.0,1.0,7.0,070,C
2019.0,1.0,8.0,070,C
2019.0,1.0,9.0,070,C
2019.0,1.0,10.0,060,C
2019.0,1.0,11.0,040,C
2019.0,1.0,12.0,020,C
2019.0,1.0,13.0,070,C
2019.0,1.0,14.0,070,C
2019.0,1.0,15.0,060,C
2019.0,1.0,16.0,360,C
2019.0,1.0,17.0,360,C
2019.0,1.0,18.0,060,C
2019.0,1.0,19.0,050,C
2019.0,1.0,20.0,030,C
2019.0,1.0,21.0,360,C
2019.0,1.0,22.0,360,C
2019.0,1.0,23.0,010,C
2019.0,1.0,24.0,060,C
2019.0,1.0,25.0,050,C
2019.0,1.0,26.0,070,C
2019.0,1.0,27.0,070,C
2019.0,1.0,28.0,060,C
2019.0,1.0,29.0,040,C
2019.0,1.0,30.0,050,C
2019.0,1.0,31.0,010,C
2019.0,2.0,1.0,010,C
2019.0,2.0,2.0,050,C
2019.0,2.0,3.0,020,C
2019.0,2.0,4.0,070,C
2019.0,2.0,5.0,050,C
2019.0,2.0,6.0,030,C
2019.0,2.0,7.0,170,C
2019.0,2.0,8.0,070,C
2019.0,2.0,9.0,070,C
2019.0,2.0,10.0,060,C
2019.0,2.0,11.0,040,C
2019.0,2.0,12.0,060,C
2019.0,2.0,13.0,030,C
2019.0,2.0,14.0,060,C
2019.0,2.0,15.0,060,C
2019.0,2.0,16.0,070,C
2019.0,2.0,17.0,070,C
2019.0,2.0,18.0,070,C
2019.0,2.0,19.0,030,C
2019.0,2.0,20.0,010,C
2019.0,2.0,21.0,030,C
2019.0,2.0,22.0,010,C
2019.0,2.0,23.0,060,C
2019.0,2.0,24.0,010,C
2019.0,2.0,25.0,030,C
2019.0,2.0,26.0,060,C
2019.0,2.0,27.0,040,C
2019.0,2.0,28.0,020,C
2019.0,3.0,1.0,060,C
2019.0,3.0,2.0,070,C
2019.0,3.0,3.0,010,C
2019.0,3.0,4.0,080,C
2019.0,3.0,5.0,070,C
2019.0,3.0,6.0,040,C
2019.0,3.0,7.0,040,C
2019.0,3.0,8.0,060,C
2019.0,3.0,9.0,050,C
2019.0,3.0,10.0,360,C
2019.0,3.0,11.0,360,C
2019.0,3.0,12.0,070,C
2019.0,3.0,13.0,050,C
2019.0,3.0,14.0,060,C
2019.0,3.0,15.0,010,C
2019.0,3.0,16.0,070,C
2019.0,3.0,17.0,070,C
2019.0,3.0,18.0,060,C
2019.0,3.0,19.0,100,C
2019.0,3.0,20.0,090,C
2019.0,3.0,21.0,160,C
2019.0,3.0,22.0,160,C
2019.0,3.0,23.0,060,C
2019.0,3.0,24.0,070,C
2019.0,3.0,25.0,060,C
2019.0,3.0,26.0,070,C
2019.0,3.0,27.0,060,C
2019.0,3.0,28.0,030,C
2019.0,3.0,29.0,230,C
2019.0,3.0,30.0,060,C
2019.0,3.0,31.0,070,C
2019.0,4.0,1.0,070,C
2019.0,4.0,2.0,070,C
2019.0,4.0,3.0,060,C
2019.0,4.0,4.0,070,C
2019.0,4.0,5.0,010,C
2019.0,4.0,6.0,230,C
2019.0,4.0,7.0,230,C
2019.0,4.0,8.0,210,C
2019.0,4.0,9.0,180,C
2019.0,4.0,10.0,220,C
2019.0,4.0,11.0,180,#
2019.0,4.0,12.0,070,C
2019.0,4.0,13.0,070,C
2019.0,4.0,14.0,050,C
2019.0,4.0,15.0,070,C
2019.0,4.0,16.0,070,C
2019.0,4.0,17.0,050,C
2019.0,4.0,18.0,080,C
2019.0,4.0,19.0,040,C
2019.0,4.0,20.0,030,C
2019.0,4.0,21.0,030,C
2019.0,4.0,22.0,190,C
2019.0,4.0,23.0,220,C
2019.0,4.0,24.0,220,C
2019.0,4.0,25.0,230,C
2019.0,4.0,26.0,220,C
2019.0,4.0,27.0,080,C
2019.0,4.0,28.0,070,C
2019.0,4.0,29.0,070,C
2019.0,4.0,30.0,180,C
2019.0,5.0,1.0,020,C
2019.0,5.0,2.0,060,C
2019.0,5.0,3.0,060,C
2019.0,5.0,4.0,070,C
2019.0,5.0,5.0,060,C
2019.0,5.0,6.0,060,C
2019.0,5.0,7.0,070,C
2019.0,5.0,8.0,060,C
2019.0,5.0,9.0,040,C
2019.0,5.0,10.0,080,C
2019.0,5.0,11.0,070,C
2019.0,5.0,12.0,050,C
2019.0,5.0,13.0,040,C
2019.0,5.0,14.0,030,C
2019.0,5.0,15.0,160,C
2019.0,5.0,16.0,230,C
2019.0,5.0,17.0,230,C
2019.0,5.0,18.0,230,C
2019.0,5.0,19.0,220,C
2019.0,5.0,20.0,230,C
2019.0,5.0,21.0,070,C
2019.0,5.0,22.0,070,C
2019.0,5.0,23.0,080,C
2019.0,5.0,24.0,080,C
2019.0,5.0,25.0,070,C
2019.0,5.0,26.0,120,C
2019.0,5.0,27.0,140,C
2019.0,5.0,28.0,030,C
2019.0,5.0,29.0,070,C
2019.0,5.0,30.0,070,C
2019.0,5.0,31.0,070,C
2019.0,6.0,1.0,220,C
2019.0,6.0,2.0,240,C
2019.0,6.0,3.0,220,C
2019.0,6.0,4.0,220,C
2019.0,6.0,5.0,190,C
2019.0,6.0,6.0,180,C
2019.0,6.0,7.0,210,C
2019.0,6.0,8.0,220,C
2019.0,6.0,9.0,220,C
2019.0,6.0,10.0,220,C
2019.0,6.0,11.0,220,C
2019.0,6.0,12.0,040,C
2019.0,6.0,13.0,030,#
2019.0,6.0,14.0,***,
2019.0,6.0,15.0,***,
2019.0,6.0,16.0,***,
2019.0,6.0,17.0,***,
2019.0,6.0,18.0,***,
2019.0,6.0,19.0,***,
2019.0,6.0,20.0,230,#
2019.0,6.0,21.0,220,C
2019.0,6.0,22.0,220,C
2019.0,6.0,23.0,230,C
2019.0,6.0,24.0,220,C
2019.0,6.0,25.0,070,C
2019.0,6.0,26.0,230,C
2019.0,6.0,27.0,230,C
2019.0,6.0,28.0,200,C
2019.0,6.0,29.0,190,C
2019.0,6.0,30.0,190,C
2019.0,7.0,1.0,080,C
2019.0,7.0,2.0,070,C
2019.0,7.0,3.0,170,C
