年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2019.0,1.0,1.0,26.5,C
2019.0,1.0,2.0,26.3,C
2019.0,1.0,3.0,26.0,C
2019.0,1.0,4.0,30.1,C
2019.0,1.0,5.0,6.3,C
2019.0,1.0,6.0,20.0,C
2019.0,1.0,7.0,27.2,C
2019.0,1.0,8.0,18.3,C
2019.0,1.0,9.0,32.5,C
2019.0,1.0,10.0,24.5,C
2019.0,1.0,11.0,12.8,C
2019.0,1.0,12.0,6.7,C
2019.0,1.0,13.0,27.0,C
2019.0,1.0,14.0,25.7,C
2019.0,1.0,15.0,21.7,C
2019.0,1.0,16.0,26.5,C
2019.0,1.0,17.0,20.2,C
2019.0,1.0,18.0,26.4,C
2019.0,1.0,19.0,20.7,C
2019.0,1.0,20.0,20.6,C
2019.0,1.0,21.0,25.6,C
2019.0,1.0,22.0,23.6,C
2019.0,1.0,23.0,15.5,C
2019.0,1.0,24.0,25.6,C
2019.0,1.0,25.0,14.8,C
2019.0,1.0,26.0,28.5,C
2019.0,1.0,27.0,37.5,C
2019.0,1.0,28.0,28.8,C
2019.0,1.0,29.0,24.6,C
2019.0,1.0,30.0,25.8,C
2019.0,1.0,31.0,11.8,C
2019.0,2.0,1.0,25.7,C
2019.0,2.0,2.0,28.6,C
2019.0,2.0,3.0,11.3,C
2019.0,2.0,4.0,12.8,C
2019.0,2.0,5.0,23.7,C
2019.0,2.0,6.0,12.3,C
2019.0,2.0,7.0,9.0,C
2019.0,2.0,8.0,22.8,C
2019.0,2.0,9.0,38.8,C
2019.0,2.0,10.0,41.6,C
2019.0,2.0,11.0,27.3,C
2019.0,2.0,12.0,23.7,C
2019.0,2.0,13.0,14.7,C
2019.0,2.0,14.0,28.8,C
2019.0,2.0,15.0,24.9,C
2019.0,2.0,16.0,17.7,C
2019.0,2.0,17.0,43.5,C
2019.0,2.0,18.0,35.3,C
2019.0,2.0,19.0,21.9,C
2019.0,2.0,20.0,14.0,C
2019.0,2.0,21.0,17.6,C
2019.0,2.0,22.0,18.4,C
2019.0,2.0,23.0,36.5,C
2019.0,2.0,24.0,17.9,C
2019.0,2.0,25.0,20.0,C
2019.0,2.0,26.0,34.4,C
2019.0,2.0,27.0,20.2,C
2019.0,2.0,28.0,12.7,C
2019.0,3.0,1.0,30.6,C
2019.0,3.0,2.0,23.3,C
2019.0,3.0,3.0,8.0,C
2019.0,3.0,4.0,26.1,C
2019.0,3.0,5.0,22.7,C
2019.0,3.0,6.0,24.5,C
2019.0,3.0,7.0,39.5,C
2019.0,3.0,8.0,46.0,C
2019.0,3.0,9.0,25.0,C
2019.0,3.0,10.0,17.3,C
2019.0,3.0,11.0,17.0,C
2019.0,3.0,12.0,21.0,C
2019.0,3.0,13.0,30.2,C
2019.0,3.0,14.0,32.4,C
2019.0,3.0,15.0,25.1,C
2019.0,3.0,16.0,35.0,C
2019.0,3.0,17.0,34.1,C
2019.0,3.0,18.0,20.1,C
2019.0,3.0,19.0,9.0,C
2019.0,3.0,20.0,14.3,C
2019.0,3.0,21.0,7.6,C
2019.0,3.0,22.0,13.8,C
2019.0,3.0,23.0,39.6,C
2019.0,3.0,24.0,44.9,C
2019.0,3.0,25.0,19.1,C
2019.0,3.0,26.0,26.4,C
2019.0,3.0,27.0,22.8,C
2019.0,3.0,28.0,7.4,C
2019.0,3.0,29.0,14.2,C
2019.0,3.0,30.0,20.0,C
2019.0,3.0,31.0,44.3,C
2019.0,4.0,1.0,45.3,C
2019.0,4.0,2.0,35.4,C
2019.0,4.0,3.0,23.3,C
2019.0,4.0,4.0,29.2,C
2019.0,4.0,5.0,13.7,C
2019.0,4.0,6.0,13.1,C
2019.0,4.0,7.0,12.0,C
2019.0,4.0,8.0,13.8,C
2019.0,4.0,9.0,17.1,C
2019.0,4.0,10.0,16.7,C
2019.0,4.0,11.0,15.0,#
2019.0,4.0,12.0,43.0,C
2019.0,4.0,13.0,38.5,C
2019.0,4.0,14.0,25.7,C
2019.0,4.0,15.0,41.7,C
2019.0,4.0,16.0,24.2,C
2019.0,4.0,17.0,9.3,C
2019.0,4.0,18.0,18.2,C
2019.0,4.0,19.0,18.0,C
2019.0,4.0,20.0,14.3,C
2019.0,4.0,21.0,7.4,C
2019.0,4.0,22.0,10.0,C
2019.0,4.0,23.0,13.4,C
2019.0,4.0,24.0,16.9,C
2019.0,4.0,25.0,18.6,C
2019.0,4.0,26.0,13.4,C
2019.0,4.0,27.0,39.5,C
2019.0,4.0,28.0,31.0,C
2019.0,4.0,29.0,12.7,C
2019.0,4.0,30.0,17.3,C
2019.0,5.0,1.0,17.4,C
2019.0,5.0,2.0,36.7,C
2019.0,5.0,3.0,36.5,C
2019.0,5.0,4.0,43.3,C
2019.0,5.0,5.0,40.0,C
2019.0,5.0,6.0,42.0,C
2019.0,5.0,7.0,49.5,C
2019.0,5.0,8.0,42.0,C
2019.0,5.0,9.0,19.9,C
2019.0,5.0,10.0,12.9,C
2019.0,5.0,11.0,15.0,C
2019.0,5.0,12.0,21.8,C
2019.0,5.0,13.0,19.1,C
2019.0,5.0,14.0,8.0,C
2019.0,5.0,15.0,8.5,C
2019.0,5.0,16.0,30.3,C
2019.0,5.0,17.0,29.0,C
2019.0,5.0,18.0,26.6,C
2019.0,5.0,19.0,25.1,C
2019.0,5.0,20.0,14.4,C
2019.0,5.0,21.0,33.9,C
2019.0,5.0,22.0,17.2,C
2019.0,5.0,23.0,25.9,C
2019.0,5.0,24.0,37.4,C
2019.0,5.0,25.0,24.1,C
2019.0,5.0,26.0,12.4,C
2019.0,5.0,27.0,10.3,C
2019.0,5.0,28.0,10.3,C
2019.0,5.0,29.0,41.5,C
2019.0,5.0,30.0,37.1,C
2019.0,5.0,31.0,13.7,C
2019.0,6.0,1.0,18.9,C
2019.0,6.0,2.0,20.3,C
2019.0,6.0,3.0,24.2,C
2019.0,6.0,4.0,17.0,C
2019.0,6.0,5.0,14.5,C
2019.0,6.0,6.0,17.8,C
2019.0,6.0,7.0,21.0,C
2019.0,6.0,8.0,24.7,C
2019.0,6.0,9.0,35.6,C
2019.0,6.0,10.0,29.5,C
2019.0,6.0,11.0,11.8,C
2019.0,6.0,12.0,17.3,C
2019.0,6.0,13.0,13.8,#
2019.0,6.0,14.0,***,
2019.0,6.0,15.0,***,
2019.0,6.0,16.0,***,
2019.0,6.0,17.0,***,
2019.0,6.0,18.0,***,
2019.0,6.0,19.0,***,
2019.0,6.0,20.0,25.5,#
2019.0,6.0,21.0,30.0,C
2019.0,6.0,22.0,31.6,C
2019.0,6.0,23.0,30.4,C
2019.0,6.0,24.0,27.5,C
2019.0,6.0,25.0,9.4,C
2019.0,6.0,26.0,12.9,C
2019.0,6.0,27.0,17.2,C
2019.0,6.0,28.0,19.7,C
2019.0,6.0,29.0,21.6,C
2019.0,6.0,30.0,11.7,C
2019.0,7.0,1.0,27.7,C
2019.0,7.0,2.0,32.7,C
2019.0,7.0,3.0,19.4,C
2019.0,7.0,4.0,28.9,C
2019.0,7.0,5.0,31.4,C
2019.0,7.0,6.0,31.2,C
2019.0,7.0,7.0,30.9,C
2019.0,7.0,8.0,31.1,C
2019.0,7.0,9.0,38.2,C
2019.0,7.0,10.0,30.0,C
2019.0,7.0,11.0,15.1,C
2019.0,7.0,12.0,29.4,C
2019.0,7.0,13.0,35.5,C
2019.0,7.0,14.0,29.9,C
2019.0,7.0,15.0,11.5,C
2019.0,7.0,16.0,9.8,C
2019.0,7.0,17.0,14.2,C
2019.0,7.0,18.0,14.0,C
2019.0,7.0,19.0,24.2,C
2019.0,7.0,20.0,21.4,C
2019.0,7.0,21.0,10.8,C
2019.0,7.0,22.0,8.8,C
2019.0,7.0,23.0,12.3,C
2019.0,7.0,24.0,13.8,C
2019.0,7.0,25.0,17.6,C
2019.0,7.0,26.0,17.9,C
2019.0,7.0,27.0,19.0,C
2019.0,7.0,28.0,11.0,C
2019.0,7.0,29.0,27.0,C
2019.0,7.0,30.0,46.5,C
2019.0,7.0,31.0,59.9,C
2019.0,8.0,1.0,48.0,C
2019.0,8.0,2.0,35.1,C
2019.0,8.0,3.0,27.8,C
2019.0,8.0,4.0,20.8,C
2019.0,8.0,5.0,12.8,C
2019.0,8.0,6.0,12.5,C
2019.0,8.0,7.0,15.3,C
2019.0,8.0,8.0,17.0,C
2019.0,8.0,9.0,26.6,C
2019.0,8.0,10.0,40.3,C
2019.0,8.0,11.0,40.4,C
2019.0,8.0,12.0,33.9,C
2019.0,8.0,13.0,34.1,C
2019.0,8.0,14.0,29.3,C
2019.0,8.0,15.0,31.2,C
2019.0,8.0,16.0,28.6,C
2019.0,8.0,17.0,19.0,C
2019.0,8.0,18.0,19.1,C
2019.0,8.0,19.0,6.4,C
2019.0,8.0,20.0,17.4,C
2019.0,8.0,21.0,14.8,C
2019.0,8.0,22.0,5.9,C
2019.0,8.0,23.0,4.9,C
2019.0,8.0,24.0,21.1,C
2019.0,8.0,25.0,27.1,C
2019.0,8.0,26.0,16.8,C
2019.0,8.0,27.0,16.0,C
2019.0,8.0,28.0,17.7,C
2019.0,8.0,29.0,34.7,C
2019.0,8.0,30.0,14.8,C
2019.0,8.0,31.0,25.5,C
2019.0,9.0,1.0,44.1,C
2019.0,9.0,2.0,47.4,C
2019.0,9.0,3.0,39.3,C
2019.0,9.0,4.0,34.7,C
2019.0,9.0,5.0,25.4,#
2019.0,9.0,6.0,20.3,C
2019.0,9.0,7.0,7.2,C
2019.0,9.0,8.0,9.0,C
2019.0,9.0,9.0,7.8,C
2019.0,9.0,10.0,13.1,C
2019.0,9.0,11.0,8.2,C
2019.0,9.0,12.0,11.8,C
2019.0,9.0,13.0,13.2,C
2019.0,9.0,14.0,7.5,C
2019.0,9.0,15.0,9.8,C
2019.0,9.0,16.0,14.5,C
2019.0,9.0,17.0,27.4,C
2019.0,9.0,18.0,22.8,C
2019.0,9.0,19.0,16.9,C
2019.0,9.0,20.0,16.9,C
2019.0,9.0,21.0,31.1,C
2019.0,9.0,22.0,40.1,C
2019.0,9.0,23.0,28.4,C
2019.0,9.0,24.0,21.0,C
2019.0,9.0,25.0,16.9,C
2019.0,9.0,26.0,17.7,C
2019.0,9.0,27.0,16.3,C
2019.0,9.0,28.0,12.0,C
2019.0,9.0,29.0,9.3,C
2019.0,9.0,30.0,13.1,C
2019.0,10.0,1.0,18.6,C
2019.0,10.0,2.0,22.3,C
2019.0,10.0,3.0,16.2,C
2019.0,10.0,4.0,9.0,C
2019.0,10.0,5.0,6.3,C
2019.0,10.0,6.0,36.6,C
2019.0,10.0,7.0,42.6,C
2019.0,10.0,8.0,29.0,C
2019.0,10.0,9.0,32.8,C
2019.0,10.0,10.0,17.5,C
2019.0,10.0,11.0,10.4,C
2019.0,10.0,12.0,10.0,C
2019.0,10.0,13.0,18.7,C
2019.0,10.0,14.0,26.5,C
2019.0,10.0,15.0,47.0,C
2019.0,10.0,16.0,37.4,C
2019.0,10.0,17.0,20.3,#
2019.0,10.0,18.0,19.3,C
