Datetime,PM2.5,PM10,NO2,SO2,O3,Temp_2m_C,Humidity_Percent,Wind_Speed_10m_kmh,Wind_Dir_10m,Precipitation_mm
2025-01-15 00:00:00,115.0,195.0,63.0,18.0,44.0,18.5,85,8.5,210,0.0
2025-01-15 01:00:00,126.5,211.4,62.5,19.2,43.3,19.7,84,9.5,210,0.0
2025-01-15 02:00:00,136.6,225.9,61.2,20.3,41.4,20.8,83,10.4,210,0.0
2025-01-15 03:00:00,144.5,237.1,59.0,21.4,38.5,21.9,82,11.2,210,0.0
2025-01-15 04:00:00,149.0,243.6,56.1,22.3,34.8,22.8,80,11.9,210,0.0
2025-01-15 05:00:00,149.8,244.8,52.7,23.0,30.9,23.7,78,12.3,210,0.0
2025-01-15 06:00:00,146.8,240.5,49.1,23.6,27.0,24.4,75,12.5,210,0.0
2025-01-15 07:00:00,140.3,231.2,45.3,23.9,23.7,24.9,72,12.4,210,0.0
2025-01-15 08:00:00,131.0,217.9,41.8,24.0,21.3,25.3,69,12.1,210,0.0
2025-01-15 09:00:00,,,38.6,23.8,20.1,25.5,66,11.6,210,0.0
2025-01-15 10:00:00,,,36.0,23.5,20.2,25.5,63,10.9,210,0.0
2025-01-15 11:00:00,,,34.1,22.9,21.6,25.3,59,10.0,210,0.0
2025-01-15 12:00:00,,,33.2,22.1,24.2,24.9,56,9.1,210,0.0
2025-01-15 13:00:00,,,33.1,21.1,27.6,24.3,53,8.1,210,0.0
2025-01-15 14:00:00,80.0,145.1,34.0,20.0,31.5,23.6,51,7.1,210,0.0
2025-01-15 15:00:00,81.4,147.1,35.7,18.8,35.4,22.7,48,6.2,210,0.0
2025-01-15 16:00:00,86.5,154.3,38.2,17.6,39.0,21.7,47,5.5,210,0.0
2025-01-15 17:00:00,94.8,166.1,41.3,16.5,41.8,20.6,45,4.9,210,0.0
2025-01-15 18:00:00,105.2,181.0,44.8,15.3,43.5,19.5,45,4.6,210,0.0
2025-01-15 19:00:00,116.8,197.5,48.6,14.3,44.0,18.3,45,4.5,210,0.0
2025-01-15 20:00:00,128.1,213.7,52.3,13.5,43.1,17.2,45,4.7,210,0.0
2025-01-15 21:00:00,138.0,227.8,55.7,12.8,41.0,16.0,46,5.1,210,0.0
2025-01-15 22:00:00,145.4,238.4,58.6,12.3,38.0,15.0,47,5.7,210,0.0
2025-01-15 23:00:00,149.4,244.1,60.9,12.0,34.2,14.0,49,6.5,210,0.0
